customer_id,display_name,keywords
649df00d04a03606c70c38d4 ,Eict Institute Limited ,"[ ""Industrial artisans training "", ""Skills development programs near me "", ""Youth development training near me "", ""Technical skill training near me "", ""Industry focused training "", ""Industrial workforce training "", ""Cutting edge skill training near me "", ""Career orientated education near me "", ""Education programs "", "" "
64c25dbe215a3344ed1adc26 ,SwiftXR 3D AR VR ,"[ ""3D "", ""Augmented Reality "", ""Virtual Reality "", ""AR "", ""VR "", ""New website "", ""Furniture "", ""Chair "", ""Bed "", ""Table "", ""Glasses "", ""Grow online sales "", ""Grow ecommerce sales "", ""Grow customer engagement "", ""Mixed reality "", ""Website builder "", ""Website starter pack "", ""My first website "", ""Shopify "", ""WIx "", ""Bubble io "", ""Wordpress "", ""W "
64c2805a53a41a3b816cc3c5 ,Zamar Solutions ,"[ ""Battery in lagos "", ""Inverter in lagos "", ""Solar in lagos "", ""How to save money with solar "", ""Is solar cheaper than generator "", ""Solar vs generator "", ""How much is fuel price in Nigeria currently "", ""Jagaban "", ""E mi lo kan "", ""How much is fuel price in Lagos currently "", ""Battery in lagos "", ""Inverter in lagos "", ""Sol "
64c285a4775bb52fd268c188 ,Afiari ,"[ ""Groceries "", ""Supermarket "", ""Food delivery "", ""Shoprite "", ""Spar "", ""Ebeano "", ""Lekki "", ""Victoria Island "", ""Household items "", ""Grocery deliveries "", ""Supermarket deliveries "", ""Online grocery shopping Lagos "", ""Lagos grocery delivery "", ""Fresh food delivery "", ""Home Delivery Service "", ""Fast Grocery Delivery "", ""HassleFree F "
64c3b14d8d37c1784d601049 ,Africa Medical Marketplace ,"[ ""Medical Equipment Africa "", ""Healthcare Supplies Online "", ""African Medical Sourcing "", ""Trusted Medical Suppliers "", ""Medical Devices Marketplace "", ""Africa Healthcare "", ""Africa Healthcare Solutions "", ""Biomedical Equipment Africa "", ""Africa Medical Marketplace "", ""Revolutionizing healthcare in Africa "", ""Affordabl "
650165b3920ad3067f4d8fd6 ,Vickenson Nigeria Ltd ,"[ ""200cc motorcycle Dispatch logistics motorcycle "", ""Motorcycles "", ""Biking "", ""Motorcycle Enthusiast "", ""Custom Bikes "", ""TwoWheelers "", ""200cc motorcycle Dispatch logistics motorcycle "", ""Motorcycles "", ""Biking "", ""Motorcycle Enthusiast "", ""Custom Bikes "", ""TwoWheelers ""] "
6502e95c49515e43e40eff56 ,Megateq ,"[ ""Mtn Glo Airtel Cheap data bundle 9mobile "", ""Easy Ordering "", ""Airtel "", ""MTN "", ""9mobile "", ""Glo data plans "", ""Data Bundles and Airtime "", ""Topup of any Nigerian Network "", ""Cheap Data Bundles "", ""Cheap Data Site "", ""Cheap Data App "", ""Mtn Glo Airtel Cheap data bundle 9mobile "", ""Easy Ordering "", ""Airtel "", ""MTN "", ""9mobile "" "
6502fa08865f567a3a716794 ,NULL,"[ ""IELTS "", ""IELTS EXAM "", ""Ielts study guide "", ""Pass ielts "", ""Travel exams "", ""Ielts preparation guide "", ""Ielts prep "", ""Ielts lagos "", ""Write ielts "", ""Register ielts "", ""Ielts course "", ""Ielts home study course "", ""Ielts preparation for nierians "", ""IELTS "", ""IELTS EXAM "", ""Ielts study guide "", ""Pass ielts "", ""Travel exams "", ""Ie "
650ebf90a2ede757ab319226 ,Pentagon International Hotel ,"[ ""Luxury Hotel "", ""Hotel near me "", ""Bed & breakfast "", ""Pentagon Hotel "", ""Hotels in rivers state "", ""Hotels in choba "", ""Hotels close to PortHarcourt International airport "", ""Hotels close to University of PortHarcourt "", ""Hotels close to uniport "", ""Omagwa hotel "", ""Hotels close to NTA PORTHARCOURT "", ""HOTELS ON NTA R "
65156c6ad5c4d042ee419cc3 ,Smartkonnet limited ,"[ ""Fastest way to lose weight "", ""How to lose weight fast "", ""Easy Keto supplement "", ""Easy Keto "", ""Easy Keto diet "", ""Easy Keto Capsules "", ""Buy Easy Keto "", ""Keto friendly Supplements "", ""Keto diet Supplement "", ""Ketosis "", ""Keto weight loss "", ""Weight loss supplements "", ""Fat burners "", ""Energy Boosters "", ""Healthy Living "", "
651ba6adabcfca0d6647f4b3 ,Your Engines Auto Resources ,"[ ""Engine "", ""Kick starter "", ""AC compressor "", ""Alternator "", ""Tokunbo "", ""Fairly used "", ""Belgium "", ""Water pump "", ""Oil pump "", ""Crankshaft "", ""Drive shaft cylinder "", ""Metal "", ""Piston "", ""Ignition "", ""Coil "", ""Plug wire "", ""Spark plug "", ""Injector "", ""Carburettor "", ""2WD "", ""4WD "", ""AWD "", ""Gear box "", ""Transmission "", ""Power steering pump "", "" "
