customer_id,Industry Label (SIC),display_name,keywords
649df00d04a03606c70c38d4 ,Education,Eict Institute Limited ,"[ ""Industrial artisans training "", ""Skills development programs near me "", ""Youth development training near me "", ""Technical skill training near me "", ""Industry focused training "", ""Industrial workforce training "", ""Cutting edge skill training near me "", ""Career orientated education near me "", ""Education programs "", "" "
64c25dbe215a3344ed1adc26 ,Information & Communication,SwiftXR 3D AR VR ,"[ ""3D "", ""Augmented Reality "", ""Virtual Reality "", ""AR "", ""VR "", ""New website "", ""Furniture "", ""Chair "", ""Bed "", ""Table "", ""Glasses "", ""Grow online sales "", ""Grow ecommerce sales "", ""Grow customer engagement "", ""Mixed reality "", ""Website builder "", ""Website starter pack "", ""My first website "", ""Shopify "", ""WIx "", ""Bubble io "", ""Wordpress "", ""W "
64c2805a53a41a3b816cc3c5 ,Wholesale & Retail Trade,Zamar Solutions ,"[ ""Battery in lagos "", ""Inverter in lagos "", ""Solar in lagos "", ""How to save money with solar "", ""Is solar cheaper than generator "", ""Solar vs generator "", ""How much is fuel price in Nigeria currently "", ""Jagaban "", ""E mi lo kan "", ""How much is fuel price in Lagos currently "", ""Battery in lagos "", ""Inverter in lagos "", ""Sol "
64c285a4775bb52fd268c188 ,Wholesale & Retail Trade,Afiari ,"[ ""Groceries "", ""Supermarket "", ""Food delivery "", ""Shoprite "", ""Spar "", ""Ebeano "", ""Lekki "", ""Victoria Island "", ""Household items "", ""Grocery deliveries "", ""Supermarket deliveries "", ""Online grocery shopping Lagos "", ""Lagos grocery delivery "", ""Fresh food delivery "", ""Home Delivery Service "", ""Fast Grocery Delivery "", ""HassleFree F "
64c3b14d8d37c1784d601049 ,Health & Social Work,Africa Medical Marketplace ,"[ ""Medical Equipment Africa "", ""Healthcare Supplies Online "", ""African Medical Sourcing "", ""Trusted Medical Suppliers "", ""Medical Devices Marketplace "", ""Africa Healthcare "", ""Africa Healthcare Solutions "", ""Biomedical Equipment Africa "", ""Africa Medical Marketplace "", ""Revolutionizing healthcare in Africa "", ""Affordabl "
650165b3920ad3067f4d8fd6 ,Wholesale & Retail Trade,Vickenson Nigeria Ltd ,"[ ""200cc motorcycle Dispatch logistics motorcycle "", ""Motorcycles "", ""Biking "", ""Motorcycle Enthusiast "", ""Custom Bikes "", ""TwoWheelers "", ""200cc motorcycle Dispatch logistics motorcycle "", ""Motorcycles "", ""Biking "", ""Motorcycle Enthusiast "", ""Custom Bikes "", ""TwoWheelers ""] "
6502e95c49515e43e40eff56 ,Information & Communication,Megateq ,"[ ""Mtn Glo Airtel Cheap data bundle 9mobile "", ""Easy Ordering "", ""Airtel "", ""MTN "", ""9mobile "", ""Glo data plans "", ""Data Bundles and Airtime "", ""Topup of any Nigerian Network "", ""Cheap Data Bundles "", ""Cheap Data Site "", ""Cheap Data App "", ""Mtn Glo Airtel Cheap data bundle 9mobile "", ""Easy Ordering "", ""Airtel "", ""MTN "", ""9mobile "" "
6502fa08865f567a3a716794 ,Education,NULL,"[ ""IELTS "", ""IELTS EXAM "", ""Ielts study guide "", ""Pass ielts "", ""Travel exams "", ""Ielts preparation guide "", ""Ielts prep "", ""Ielts lagos "", ""Write ielts "", ""Register ielts "", ""Ielts course "", ""Ielts home study course "", ""Ielts preparation for nierians "", ""IELTS "", ""IELTS EXAM "", ""Ielts study guide "", ""Pass ielts "", ""Travel exams "", ""Ie "
650ebf90a2ede757ab319226 ,Accommodation & Food Services,Pentagon International Hotel ,"[ ""Luxury Hotel "", ""Hotel near me "", ""Bed & breakfast "", ""Pentagon Hotel "", ""Hotels in rivers state "", ""Hotels in choba "", ""Hotels close to PortHarcourt International airport "", ""Hotels close to University of PortHarcourt "", ""Hotels close to uniport "", ""Omagwa hotel "", ""Hotels close to NTA PORTHARCOURT "", ""HOTELS ON NTA R "
65156c6ad5c4d042ee419cc3 ,Health & Social Work,Smartkonnet limited ,"[ ""Fastest way to lose weight "", ""How to lose weight fast "", ""Easy Keto supplement "", ""Easy Keto "", ""Easy Keto diet "", ""Easy Keto Capsules "", ""Buy Easy Keto "", ""Keto friendly Supplements "", ""Keto diet Supplement "", ""Ketosis "", ""Keto weight loss "", ""Weight loss supplements "", ""Fat burners "", ""Energy Boosters "", ""Healthy Living "", "
651ba6adabcfca0d6647f4b3 ,Wholesale & Retail Trade,Your Engines Auto Resources ,"[ ""Engine "", ""Kick starter "", ""AC compressor "", ""Alternator "", ""Tokunbo "", ""Fairly used "", ""Belgium "", ""Water pump "", ""Oil pump "", ""Crankshaft "", ""Drive shaft cylinder "", ""Metal "", ""Piston "", ""Ignition "", ""Coil "", ""Plug wire "", ""Spark plug "", ""Injector "", ""Carburettor "", ""2WD "", ""4WD "", ""AWD "", ""Gear box "", ""Transmission "", ""Power steering pump "", "" "
651c20e3ee579d6f6a36c944 ,Wholesale & Retail Trade,Zone A Creations ,"[ ""Ankara bags "", ""Handmade bag "", ""Gift items "", ""Bulk bags "", ""Resale fashion "", ""Bag producer "", ""Accessories manufacturer "", ""Souvenirs items "", ""Asooke and adire bags "", ""Made in Nigeria "", ""Leather bags "", ""Female bags "", ""Purse and wallets "", ""Bags for resale "", ""Handmade bags for wholesalers "", ""Ankara bags in bulk "", ""Leat "
651c363dd23c2d516a0793d3 ,Wholesale & Retail Trade,OBEREIMO AND SONS ENTERPRISE ,"[ ""Top Fabrics Dealers "", ""Quality Fabrics "", ""Cotton fabrics "", ""Fabric store near me "", ""Textile materials "", ""Dressmaking fabrics "", ""Fashion fabrics "", ""Material for clothing "", ""Sewing materials "", ""Textile shop "", ""Fabric retailer "", ""Textile and fabrics "", ""Top Fabrics Dealers "", ""Quality Fabrics "", ""Cotton fabrics "", ""Fab "
651dd8f9820e452aca4554d5 ,Other Services,BUNGA CYBERCAFE AND BUSINESS CENTRE ,"[ ""Internet cafe near me "", ""Place to work "", ""Computer space near me "", ""Where can I send a email "", ""Where can i print "", ""Printing places near me "", ""Where can I join my online class "", ""Cyber cafes near me "", ""Printing Shop near me "", ""Cyber Cafe near me "", ""Bulk printing "", ""Business Card Printing "", ""Bulk Brochure Pri "
651e7681060dfa309d7d3ce6 ,Real Estate Activities,KENE ONUORA CONSULTING ,"[ ""Fantastic investment opportunity "", ""Kubwa Abuja "", ""Clean and genuine FHA Title "", ""Well built and well finished houses and brand new "", ""Sale "", ""Abuja Real Estate "", ""Ensuite bungalows "", ""Abuja Property "", ""2Bedroom bungalow "", ""1Bedroom bungalow "", ""Houses for sale "", ""Apartment for sale "", ""Property listings "", ""Comm "
65201609e99f075ee52bf1e3 ,Information & Communication,Maisinga Digitals ,"[ ""Virtual top up "", ""How to convert airtime to cash "", ""Best Vtu Website In Nigeria "", ""App to convert airtime to cash "", ""Airtime to cash app "", ""Convert airtime to cash "", ""Mtn share and sell "", ""Data card "", ""Airtime "", ""Data "", ""Buy cheap data "", ""MTN data "", ""Virtual top up "", ""How to convert airtime to cash "", ""Best Vtu  "
652c047fd00daa2fc13b4966 ,Information & Communication,Toplink Unified Global Services ,"[ ""MTN DATA "", ""AIRTEL DATA "", ""GLO DATA "", ""9MOBILE DATA "", ""SME DATA "", ""CORPORATE DATA GIFTING "", ""CHEAP DATA "", ""Toplink Data App "", ""Toplink Data Services "", ""Toplink Unified Global Services "", ""Ogunsusi Temitope Amos "", ""Mobile Data Solution "", ""Airtime TopUp "", ""Prepaid Mobile Recharge "", ""PayAsYouGo "", ""Mobile Data Vouche "
65314d1bfc7206117d4d3915 ,Wholesale & Retail Trade,The Scarf Shop ,"[ ""Scarf Store in Abuja "", ""Silk Scarves in Nigeria "", ""Affordable Luxury "", ""Hijab Magnets in Nigeria "", ""Scarves Near Me "", ""Hijab Near Me "", ""Hijabs "", ""Scarf "", ""Scarfs near me "", ""Abaya "", ""Abaya store near me "", ""Scarf Store in Abuja "", ""Silk Scarves in Nigeria "", ""Affordable Luxury "", ""Hijab Magnets in Nigeria "", ""Scarves  "
653623327f9477797402c14a ,Other Services,Bloomingdale Beauty ,"[ ""Makeup artist in lekki "", ""Makeup artist in ikoyi "", ""Makeup artist in Chevron lekki "", ""Makeup artist in Victoria island "", ""Makeup artist in Osapa "", ""Makeup artist in Ikate "", ""Certified Makeup Artist "", ""Professional Makeup Artist "", ""Makeup Artist near me "", ""Bridal Makeup Specialist "", ""Fashion Makeup Artist "", "" "
653926ec1a6fdf40c62e5b03 ,Education,TheWebmakers Academy ,"[ ""Website design "", ""Web design training in Ijebu Ode "", ""Web design training in Sagamu "", ""Web designing in Ijebu Igbo "", ""Web design training school in Ijebu Ode "", ""Web design training school in Sagamu "", ""Web design training school in Ijebu Igbo "", ""Web design training center in Ijebu Ode "", ""Web design trainin "
653a7dc8d426b84e77673a04 ,Education,APT Achievers Consulting ,"[ ""Personal development "", ""Personal growth "", ""How to earn money "", ""How to start a business online "", ""How to start a business "", ""Legitimate online business "", ""How to earn money as an intrapreneur "", ""How to build wealth as an intrapreneur "", ""How to earn more money as an employee "", ""How to build wealth from your "
653f68a11edc5307ac2f4156 ,Other Services,NULL,"[ ""Network marketer "", ""Products promoter "", ""Herbal Remedies "", ""Natural Remedies "", ""Alternative medicine "", ""Holistic wellness "", ""Therapeutic Herbs "", ""Traditional medicine "", ""Plant based therapies "", ""Wellness products "", ""Ayurvedic Treatments "", ""Network marketer "", ""Products promoter "", ""Herbal Remedies "", ""Natural Reme "
653fca70e48a0111e82519d9 ,Information & Communication,Space Nigeria ,"[ ""Payment "", ""Social "", ""Money "", ""Account "", ""Post "", ""Comments "", ""Images "", ""Video "", ""Fundraising "", ""Poll "", ""Naira "", ""Payment "", ""Social "", ""Money "", ""Account "", ""Post "", ""Comments "", ""Images "", ""Video "", ""Fundraising "", ""Poll "", ""Naira ""] "
6541fe119f4b5d09a478f834 ,Other Services,Fruitful Vine Parish Ikate ,"[ ""Service "", ""Church "", ""Prayers "", ""Choir "", ""Welfare "", ""Ikate "", ""TimeOak Hotel "", ""Message "", ""Annointing "", ""Bible study "", ""Fellowship "", ""Service "", ""Church "", ""Prayers "", ""Choir "", ""Welfare "", ""Ikate "", ""TimeOak Hotel "", ""Message "", ""Annointing "", ""Bible study "", ""Fellowship ""] "
